,Cluster
AUS,c3
AUT,c2
BEL,c3
BRA,c3
CAN,c2
CHL,c3
COL,c3
CRI,c3
CZE,c1
DNK,c3
EST,c3
FIN,c2
FRA,c3
DEU,c1
GRC,c3
HUN,c3
IRL,c3
ITA,c3
JPN,c3
KOR,c3
LVA,c3
LTU,c3
LUX,c3
MEX,c3
NLD,c3
NZL,c3
NOR,c2
POL,c2
PRT,c3
SVK,c2
SVN,c3
ESP,c3
SWE,c3
CHE,c2
GBR,c3
