,Cluster
AUS,c2
AUT,c2
BEL,c2
BRA,c2
CAN,c2
CHL,c2
COL,c2
CRI,c2
CZE,c1
DNK,c2
EST,c2
FIN,c2
FRA,c2
DEU,c1
GRC,c2
HUN,c2
IRL,c2
ITA,c2
JPN,c2
KOR,c2
LVA,c2
LTU,c2
LUX,c2
MEX,c2
NLD,c2
NZL,c2
NOR,c2
POL,c2
PRT,c2
SVK,c2
SVN,c2
ESP,c2
SWE,c2
CHE,c2
GBR,c2
